Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,TCAP,Banking,AIC,-1.5234682061319653,-0.7820453370916911,SELL,0
2024-02-01,TCAP,Banking,AIC,-1.5342068060643728,-0.7843733428870148,SELL,0
2024-03-01,TCAP,Banking,AIC,-1.5256375030353742,-0.7825176330067758,SELL,0
2024-04-01,TCAP,Banking,AIC,-1.5384283793337754,-0.7852817079050651,SELL,0
2024-05-01,TCAP,Banking,AIC,-1.5168941159572995,-0.7806077632913424,SELL,0
2024-06-01,TCAP,Banking,AIC,-1.5365851397029853,-0.7848855656592355,SELL,0
2024-07-01,TCAP,Banking,AIC,-1.502302196497985,-0.7773829384713128,SELL,0
2024-08-01,TCAP,Banking,AIC,-1.518641107625856,-0.7809907051055447,SELL,0
2024-09-01,TCAP,Banking,AIC,-1.5495689338237397,-0.7876605135281745,SELL,0
2024-10-01,TCAP,Banking,AIC,-1.5495689338237397,-0.7876605135281745,SELL,0
2024-11-01,TCAP,Banking,AIC,-1.576521517184314,-0.7933071733762659,SELL,0
2024-12-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-01-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-02-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-03-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-04-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-05-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-06-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-07-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-08-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-09-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-10-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-11-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2025-12-01,TCAP,Banking,AIC,-1.5468135266271636,-0.7870746249689418,SELL,0
2026-01-01,TCAP,Banking,AIC,-1.55979729125366,-0.7898213280620562,SELL,0
2026-02-01,TCAP,Banking,AIC,-1.656152694091553,-0.8091280880744971,SELL,0
